Date,EUR/USD,USD/CHF,USD/CAD,EUR/GBP,EUR/JPY,EUR/CHF,AUD/USD,GBP/JPY,CHF/JPY,GBP/CHF,NZD/USD
2020-01-02,1.1165,0.9725,1.2985,0.85,121.18,1.0857,0.698,142.53,111.59,1.277,0.6691
2020-01-03,1.1165,0.9719,1.2994,0.8537,120.58,1.0849,0.6956,141.27,111.13,1.2709,0.6668
2020-01-06,1.119,0.9686,1.2961,0.8502,121.34,1.0841,0.6935,142.72,111.92,1.2748,0.6666
2020-01-07,1.1141,0.9711,1.3003,0.849,120.9,1.0819,0.6865,142.37,111.7,1.274,0.6638
2020-01-08,1.111,0.9732,1.3022,0.848,121.28,1.0813,0.687,143,112.13,1.2752,0.665
2020-01-09,1.1106,0.9731,1.3066,0.8501,121.61,1.0806,0.6851,143.05,112.5,1.2713,0.6611
2020-01-10,1.112,0.9725,1.3055,0.8513,121.75,1.0813,0.6905,142.97,112.57,1.2697,0.6638
2020-01-13,1.1138,0.9703,1.3045,0.8569,122.41,1.0807,0.6907,142.85,113.25,1.2612,0.6635
2020-01-14,1.1129,0.9673,1.3053,0.8538,122.42,1.0764,0.6903,143.33,113.68,1.2604,0.6617
2020-01-15,1.1149,0.9636,1.3041,0.8558,122.53,1.0743,0.6902,143.11,114.04,1.2548,0.6605
2020-01-16,1.1134,0.9647,1.3045,0.852,122.62,1.0741,0.6894,143.92,114.11,1.2607,0.6635
2020-01-17,1.1089,0.9677,1.3064,0.852,122.12,1.0735,0.6877,143.33,113.76,1.2594,0.6616
2020-01-20,1.1082,0.9687,1.3048,0.8525,122.09,1.0736,0.6868,143.2,113.68,1.2594,0.6601
2020-01-21,1.1092,0.9682,1.3071,0.85,121.79,1.0737,0.6845,143.25,113.4,1.2631,0.6595
2020-01-22,1.1092,0.9683,1.3143,0.8446,121.88,1.074,0.6839,144.27,113.44,1.2711,0.6592
2020-01-23,1.1055,0.9693,1.3128,0.8425,121.01,1.0716,0.6842,143.6,112.9,1.2715,0.6598
2020-01-24,1.103,0.9704,1.3145,0.8433,120.46,1.0704,0.682,142.8,112.51,1.2691,0.6607
2020-01-27,1.1015,0.9696,1.3181,0.844,120,1.0678,0.6758,142.12,112.34,1.2652,0.6545
2020-01-28,1.1014,0.973,1.317,0.8467,120.2,1.0719,0.6751,141.92,112.11,1.2654,0.6531
2020-01-29,1.101,0.9736,1.3196,0.8459,120.06,1.0719,0.6754,141.93,111.97,1.2669,0.6527
2020-01-30,1.1029,0.9695,1.3209,0.8429,119.98,1.0692,0.6712,142.32,112.16,1.2682,0.6482
2020-01-31,1.1087,0.9635,1.3231,0.8399,120.18,1.0683,0.6694,143.05,112.45,1.2715,0.6465
2020-02-03,1.1063,0.9655,1.3299,0.8512,120.17,1.0681,0.6688,141.12,112.45,1.2547,0.6463
2020-02-04,1.1042,0.9696,1.3275,0.8466,120.85,1.0704,0.6734,142.74,112.89,1.2643,0.6483
2020-02-05,1.0993,0.9737,1.3293,0.8463,120.7,1.0702,0.6743,142.63,112.73,1.2647,0.6474
2020-02-06,1.0973,0.9753,1.3287,0.849,120.68,1.0698,0.6731,142.14,112.74,1.2603,0.6459
2020-02-07,1.0944,0.9772,1.3297,0.8491,120.1,1.0696,0.6675,141.43,112.26,1.2597,0.6398
2020-02-10,1.0914,0.9767,1.3315,0.8447,119.69,1.0661,0.6678,141.68,112.24,1.2617,0.6386
2020-02-11,1.092,0.9755,1.3291,0.8421,119.87,1.0651,0.6713,142.29,112.49,1.2646,0.6402
2020-02-12,1.0867,0.9782,1.325,0.8381,119.61,1.0629,0.6733,142.66,112.5,1.2677,0.6459
2020-02-13,1.0841,0.9787,1.3257,0.8305,119.03,1.0612,0.6724,143.3,112.12,1.2774,0.644
2020-02-14,1.0842,0.981,1.3241,0.8315,118.95,1.0636,0.6708,143.03,111.79,1.2788,0.6431
2020-02-17,1.083,0.9808,1.3233,0.8324,119.05,1.0623,0.6717,143,112.02,1.2759,0.6437
2020-02-18,1.0797,0.9826,1.325,0.8307,118.59,1.0607,0.6686,142.76,111.75,1.2769,0.6383
2020-02-19,1.0796,0.984,1.323,0.8359,120.35,1.0625,0.6673,143.91,113.23,1.2705,0.6375
2020-02-20,1.079,0.9838,1.3254,0.8374,120.9,1.0619,0.6618,144.39,113.85,1.2679,0.6335
2020-02-21,1.0855,0.9777,1.3203,0.8363,121.17,1.0612,0.663,144.85,114.15,1.2688,0.6354
2020-02-24,1.0852,0.9784,1.3286,0.8401,120.1,1.0619,0.6603,142.94,113.06,1.2639,0.6339
2020-02-25,1.0879,0.9754,1.3271,0.8365,119.68,1.0614,0.6596,143.08,112.74,1.2688,0.6329
2020-02-26,1.0888,0.9762,1.3308,0.8431,120.15,1.0632,0.6555,142.46,112.99,1.2604,0.63
2020-02-27,1.098,0.9708,1.3363,0.8516,120.81,1.0658,0.6583,141.81,113.29,1.2513,0.6311
2020-02-28,1.1038,0.9648,1.3424,0.8608,119.19,1.065,0.6511,138.43,111.86,1.237,0.6246
2020-03-02,1.113,0.9604,1.333,0.8718,120.69,1.0687,0.6522,138.39,112.86,1.2257,0.6238
2020-03-03,1.1178,0.9567,1.3376,0.8733,119.79,1.0696,0.6591,137.13,111.96,1.2243,0.6285
2020-03-04,1.1133,0.9568,1.3394,0.865,119.53,1.065,0.6615,138.16,112.19,1.231,0.6286
2020-03-05,1.1233,0.9458,1.3407,0.8667,119.16,1.0626,0.6605,137.46,112.11,1.2258,0.6301
2020-03-06,1.1315,0.9366,1.342,0.8692,119.05,1.0598,0.6637,136.91,112.28,1.2188,0.6358
2020-03-09,1.1454,0.9245,1.3626,0.8743,117.1,1.059,0.6599,133.88,110.53,1.2106,0.6353
2020-03-10,1.1288,0.9389,1.3729,0.8748,118.87,1.0598,0.649,135.87,112.12,1.2115,0.6259
2020-03-11,1.1277,0.9374,1.3768,0.8792,117.68,1.0571,0.6487,133.81,111.27,1.202,0.627
2020-03-12,1.1181,0.9458,1.3841,0.8883,117.76,1.0576,0.6318,132.5,111.3,1.1903,0.6145
2020-03-13,1.1065,0.9566,1.3915,0.8985,119.89,1.0587,0.6143,133.39,113.22,1.1777,0.6037
2020-03-16,1.1155,0.9478,1.3974,0.9111,118.68,1.0573,0.6126,130.23,112.22,1.1601,0.6056
2020-03-17,1.0996,0.9602,1.4234,0.9104,118.4,1.0558,0.5987,129.99,112.1,1.1593,0.5935
2020-03-18,1.0863,0.9697,1.4541,0.9377,117.35,1.0536,0.5776,125.1,111.35,1.123,0.5747
2020-03-19,1.0672,0.986,1.4508,0.926,118.06,1.0525,0.577,127.47,112.16,1.1362,0.5731
2020-03-20,1.0641,0.9895,1.4403,0.9187,118.31,1.053,0.5813,128.73,112.31,1.1458,0.5696
2020-03-23,1.0733,0.9835,1.4519,0.9318,119.62,1.0554,0.579,128.33,113.26,1.1326,0.5699
2020-03-24,1.0756,0.9833,1.4496,0.9168,119.9,1.0576,0.59,130.74,113.33,1.1534,0.5769
2020-03-25,1.0867,0.978,1.4204,0.9156,120.93,1.0628,0.5957,132.03,113.74,1.1606,0.5829
2020-03-26,1.1032,0.9629,1.4048,0.9089,120.65,1.0623,0.6061,132.69,113.54,1.1684,0.5969
2020-03-27,1.1106,0.9538,1.3955,0.8915,119.8,1.0591,0.6178,134.3,113.05,1.1875,0.6045
2020-03-30,1.1038,0.9592,1.4136,0.8906,119.06,1.0587,0.616,133.65,112.42,1.1884,0.6002
2020-03-31,1.1006,0.964,1.4093,0.8864,118.52,1.0612,0.6129,133.71,111.68,1.1972,0.5948
2020-04-01,1.0925,0.9676,1.4228,0.8817,117.09,1.0571,0.6069,132.73,110.77,1.1982,0.5911
2020-04-02,1.0828,0.9745,1.4198,0.8746,116.78,1.0551,0.6035,133.5,110.64,1.206,0.5898
2020-04-03,1.0808,0.9764,1.4143,0.8814,117.16,1.0554,0.5996,132.88,111.01,1.1971,0.5859
